gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0273-coverage-seeding/artefacts.src/sp0-5.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=16528 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
seed-file: 350103 positions, seed_frac=50%
  played 50 games, 1009 / 18750 positions
  played 100 games, 1924 / 18750 positions
  played 150 games, 2817 / 18750 positions
  played 200 games, 3788 / 18750 positions
  played 250 games, 5002 / 18750 positions
  played 300 games, 6041 / 18750 positions
  played 350 games, 7261 / 18750 positions
  played 400 games, 8317 / 18750 positions
  played 450 games, 9336 / 18750 positions
  played 500 games, 10227 / 18750 positions
  played 550 games, 11289 / 18750 positions
  played 600 games, 12138 / 18750 positions
  played 650 games, 13151 / 18750 positions
  played 700 games, 13938 / 18750 positions
  played 750 games, 14964 / 18750 positions
  played 800 games, 16014 / 18750 positions
  played 850 games, 17119 / 18750 positions
  played 900 games, 18130 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0273-coverage-seeding/artefacts.src/sp0-5.jnnw
