gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp0-16.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=4910 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1312 / 18750 positions
  played 100 games, 2540 / 18750 positions
  played 150 games, 3867 / 18750 positions
  played 200 games, 5182 / 18750 positions
  played 250 games, 6514 / 18750 positions
  played 300 games, 7901 / 18750 positions
  played 350 games, 9257 / 18750 positions
  played 400 games, 10536 / 18750 positions
  played 450 games, 11871 / 18750 positions
  played 500 games, 13139 / 18750 positions
  played 550 games, 14416 / 18750 positions
  played 600 games, 15687 / 18750 positions
  played 650 games, 16960 / 18750 positions
  played 700 games, 18271 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp0-16.jnnw
