gen-data-wdl: n=31250 out=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp6-15.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=31205 nnue=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/gen5.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1370 / 31250 positions
  played 100 games, 2717 / 31250 positions
  played 150 games, 4046 / 31250 positions
  played 200 games, 5386 / 31250 positions
  played 250 games, 6780 / 31250 positions
  played 300 games, 8139 / 31250 positions
  played 350 games, 9553 / 31250 positions
  played 400 games, 10901 / 31250 positions
  played 450 games, 12210 / 31250 positions
  played 500 games, 13531 / 31250 positions
  played 550 games, 14822 / 31250 positions
  played 600 games, 16219 / 31250 positions
  played 650 games, 17525 / 31250 positions
  played 700 games, 18882 / 31250 positions
  played 750 games, 20207 / 31250 positions
  played 800 games, 21488 / 31250 positions
  played 850 games, 22879 / 31250 positions
  played 900 games, 24166 / 31250 positions
  played 950 games, 25518 / 31250 positions
  played 1000 games, 26849 / 31250 positions
  played 1050 games, 28222 / 31250 positions
  played 1100 games, 29532 / 31250 positions
  played 1150 games, 30873 / 31250 positions
wrote 31250 WDL records to /root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp6-15.jnnw
