gen-data-wdl: n=93750 out=/root/jass/jobs/results/cpx62-0314-endgame-data-aug/artefacts.src/self-13.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=172121 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1398 / 93750 positions
  played 100 games, 2750 / 93750 positions
  played 150 games, 4054 / 93750 positions
  played 200 games, 5307 / 93750 positions
  played 250 games, 6606 / 93750 positions
  played 300 games, 7896 / 93750 positions
  played 350 games, 9241 / 93750 positions
  played 400 games, 10563 / 93750 positions
  played 450 games, 11842 / 93750 positions
  played 500 games, 13154 / 93750 positions
  played 550 games, 14442 / 93750 positions
  played 600 games, 15658 / 93750 positions
  played 650 games, 17063 / 93750 positions
  played 700 games, 18437 / 93750 positions
  played 750 games, 19716 / 93750 positions
  played 800 games, 21014 / 93750 positions
  played 850 games, 22221 / 93750 positions
  played 900 games, 23483 / 93750 positions
  played 950 games, 24791 / 93750 positions
  played 1000 games, 26098 / 93750 positions
  played 1050 games, 27412 / 93750 positions
  played 1100 games, 28779 / 93750 positions
  played 1150 games, 30081 / 93750 positions
  played 1200 games, 31397 / 93750 positions
  played 1250 games, 32695 / 93750 positions
  played 1300 games, 34036 / 93750 positions
  played 1350 games, 35408 / 93750 positions
  played 1400 games, 36731 / 93750 positions
  played 1450 games, 38009 / 93750 positions
  played 1500 games, 39252 / 93750 positions
  played 1550 games, 40510 / 93750 positions
  played 1600 games, 41801 / 93750 positions
  played 1650 games, 43154 / 93750 positions
  played 1700 games, 44483 / 93750 positions
  played 1750 games, 45801 / 93750 positions
  played 1800 games, 47133 / 93750 positions
  played 1850 games, 48481 / 93750 positions
  played 1900 games, 49832 / 93750 positions
  played 1950 games, 51134 / 93750 positions
  played 2000 games, 52400 / 93750 positions
  played 2050 games, 53733 / 93750 positions
  played 2100 games, 55065 / 93750 positions
  played 2150 games, 56401 / 93750 positions
  played 2200 games, 57652 / 93750 positions
  played 2250 games, 58926 / 93750 positions
  played 2300 games, 60285 / 93750 positions
  played 2350 games, 61578 / 93750 positions
  played 2400 games, 62898 / 93750 positions
  played 2450 games, 64185 / 93750 positions
  played 2500 games, 65526 / 93750 positions
  played 2550 games, 66818 / 93750 positions
  played 2600 games, 68104 / 93750 positions
  played 2650 games, 69479 / 93750 positions
  played 2700 games, 70723 / 93750 positions
  played 2750 games, 72009 / 93750 positions
  played 2800 games, 73298 / 93750 positions
  played 2850 games, 74711 / 93750 positions
  played 2900 games, 76054 / 93750 positions
  played 2950 games, 77373 / 93750 positions
  played 3000 games, 78722 / 93750 positions
  played 3050 games, 80034 / 93750 positions
  played 3100 games, 81346 / 93750 positions
  played 3150 games, 82620 / 93750 positions
  played 3200 games, 83874 / 93750 positions
  played 3250 games, 85220 / 93750 positions
  played 3300 games, 86473 / 93750 positions
  played 3350 games, 87799 / 93750 positions
  played 3400 games, 89156 / 93750 positions
  played 3450 games, 90467 / 93750 positions
  played 3500 games, 91713 / 93750 positions
  played 3550 games, 93038 / 93750 positions
wrote 93750 WDL records to /root/jass/jobs/results/cpx62-0314-endgame-data-aug/artefacts.src/self-13.jnnw
