gen-data-wdl: n=30000 out=/root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/sp5.14.jnnw eval_depth=4 play_depth=10 max_plies=200 seed=357597122 nnue=/root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1702 / 30000 positions
  played 100 games, 3424 / 30000 positions
  played 150 games, 5026 / 30000 positions
  played 200 games, 6777 / 30000 positions
  played 250 games, 8461 / 30000 positions
  played 300 games, 10066 / 30000 positions
  played 350 games, 11884 / 30000 positions
  played 400 games, 13527 / 30000 positions
  played 450 games, 15207 / 30000 positions
  played 500 games, 16880 / 30000 positions
  played 550 games, 18517 / 30000 positions
  played 600 games, 20232 / 30000 positions
  played 650 games, 21953 / 30000 positions
  played 700 games, 23616 / 30000 positions
  played 750 games, 25373 / 30000 positions
  played 800 games, 27150 / 30000 positions
  played 850 games, 28729 / 30000 positions
wrote 30000 WDL records to /root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/sp5.14.jnnw
